index	playlist_id	videos_total	playlist_name	playlist_url
277	x7h1n8	13	Natsu 2022 - Day 15	https://www.dailymotion.com/playlist/x7h1n8
278	x7j9p2	14	Nagoya 2022 - Day 1	https://www.dailymotion.com/playlist/x7j9p2
279	x7j9p6	10	Nagoya 2022 - Day 2	https://www.dailymotion.com/playlist/x7j9p6
280	x7j9p7	11	Nagoya 2022 - Day 3	https://www.dailymotion.com/playlist/x7j9p7
281	x7j9p8	10	Nagoya 2022 - Day 4	https://www.dailymotion.com/playlist/x7j9p8
282	x7j9p9	11	Nagoya 2022 - Day 5	https://www.dailymotion.com/playlist/x7j9p9
283	x7jecy	9	Nagoya 2022 - Day 6	https://www.dailymotion.com/playlist/x7jecy
284	x7jecz	10	Nagoya 2022 - Day 7	https://www.dailymotion.com/playlist/x7jecz
285	x7jed0	9	Nagoya 2022 - Day 8	https://www.dailymotion.com/playlist/x7jed0
286	x7jed1	9	Nagoya 2022 - Day 9	https://www.dailymotion.com/playlist/x7jed1
287	x7jed2	10	Nagoya 2022 - Day 10	https://www.dailymotion.com/playlist/x7jed2
288	x7jed3	5	Nagoya 2022 - Day 11	https://www.dailymotion.com/playlist/x7jed3
289	x7jed4	8	Nagoya 2022 - Day 12	https://www.dailymotion.com/playlist/x7jed4
290	x7jed5	7	Nagoya 2022 - Day 13	https://www.dailymotion.com/playlist/x7jed5
291	x7jed6	7	Nagoya 2022 - Day 14	https://www.dailymotion.com/playlist/x7jed6
292	x7jed7	8	Nagoya 2022 - Day 15	https://www.dailymotion.com/playlist/x7jed7
293	x7kzxz	10	Aki 2022 - Day 1	https://www.dailymotion.com/playlist/x7kzxz
294	x7kzy0	10	Aki 2022 - Day 2	https://www.dailymotion.com/playlist/x7kzy0
295	x7kzy1	12	Aki 2022 - Day 3	https://www.dailymotion.com/playlist/x7kzy1
296	x7kzy2	11	Aki 2022 - Day 4	https://www.dailymotion.com/playlist/x7kzy2
